,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid,cluster_label
2128,0.068963341,0.19247438,0.166666667,0.080415355,0.162470523,0.885185133,0.192494932,0.045870256,0.026956921,0.222602692,0.271345408,0.645714286,0.472,0,0,0,0.103361489,0
929,0.081766595,0.158929002,0.166666667,0.224824139,0.947219319,0.917115673,0.224837232,0.053046777,0.033202519,0.495639998,0.25592928,0.457142857,0.032,0.061340646,0,0,0.138276834,0
3801,0.074262146,0.18223777,0.166666667,0.064521491,0.386517649,0.40719283,0.204815183,0.049138461,0.02950054,0.215185837,0.224342389,0.611428571,0.389,0,0,0,0.114337692,2
2640,0.079046321,0.148270254,0.166666667,0.132016683,0.076866235,0.458459135,0.22216589,0.050346356,0.031847299,0.348716953,0.187796464,0.542857143,0.247,0.013174893,0,0,0.135580713,0
3701,0.091340019,0.265842694,0.166666667,0.229444774,0.333109666,0.707409033,0.214644218,0.068034608,0.038089447,0.337972911,0.235877533,0.48,0.145,0,0,0,0.135129007,0
5672,0.077285959,0.067192899,0.166666667,0.022779276,0.940130405,0.933689938,0.238233185,0.043617877,0.030978325,0.282214798,0.237386805,0.588571429,0.333,0.003540524,0,0,0.151439192,0
3530,0.091534543,0.162822928,0.166666667,0.192400099,0.535679066,0.830856629,0.242729894,0.06042021,0.038190613,0.186003632,0.211729194,0.554285714,0.196,0,0,0,0.164076699,0
82,0.081811494,0.088939706,0.166666667,0.072257363,0.077053107,0.468146151,0.242409937,0.04818522,0.033225013,0.773529453,0.242561449,0.312,0.05,0.006191347,0.653667595,0.40610687,0.157770778,1
4005,0.086063366,0.203839853,0.166666667,0.034402446,0.815889255,0.344886695,0.221565461,0.059408934,0.035373453,0.269280357,0.263260026,0.537142857,0.071,0.002071907,0,0,0.13651364,2
5778,0.111215239,0.087326805,0.166666667,0.16024932,0.410408769,0.879186721,0.30406133,0.068200456,0.048796599,0.192741186,0.197606727,0.525714286,0.149,0,0,0,0.229903888,0
1941,0.076003991,0.204754186,0.166666667,0.357350828,0.962140957,0.033369055,0.2027487,0.051924747,0.030349502,0.228245047,0.172811557,0.56,0.039,0.005430579,0,0,0.11362279,2
196,0.097424554,0.182382779,0.166666667,0.128631152,0.22669472,0.684207494,0.248605186,0.0662417,0.041288326,0.702355371,0.315976714,0.341714286,0.373,0.004027057,0.843082637,0.757251908,0.16538562,1
1676,0.086878523,0.11828643,0.166666667,0.217789077,0.938673506,0.884421736,0.245317669,0.053794129,0.035789455,0.418282894,0.223264338,0.485714286,0.221,0.002344912,0,0,0.161725773,0
2772,0.076459831,0.158380623,0.166666667,0.053222907,0.2810816,0.824672483,0.214677701,0.049163714,0.03057271,0.445718326,0.224450194,0.565714286,0.04,0,0,0,0.128517672,0
