,full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
208,   209 Dido,0.45032751008341904,0.13890416339913905,0.10526315789473682,0.19667925031830238,0.001692592932359504,0.6925047204334344,0.5544495128430517,0.3680111706737535,0.37743199848538694,0.6615044940653284,0,0.17133245224077856,0.5350318471337581,0.01219512195121951,0.002568080273939072,0.6599808978032473,0.44885496183206103,Xc,C,N,E,0.5466885136800074
209,   210 Isabella,0.33693054224339225,0.31265164731569584,0.10526315789473682,0.14121114121174425,0.09051258043998693,0.040305067356884015,0.3780046258192332,0.3044583640435695,0.2695415985622066,0.6290908521499483,0,0.16400336417157274,0.6507430997876859,0.02804878048780488,0.0033694434514741196,0.6370582617000956,0.3786259541984733,Cb,CF,N,E,0.3748027435532306
210,   211 Isolda,0.4219091684588675,0.408482221381967,0.31578947368421045,0.10132917742033955,0.7335749515689265,0.48140178876403905,0.4282877102140458,0.41686644783031274,0.3496633671194194,0.658388399987473,0,0.16208098041571548,0.49787685774946927,0.046747967479674794,0.013386911523868072,0.6790830945558739,0.5557251908396946,Ch,C,N,E,0.42664226428287116
211,   212 Medea,0.4440855650539328,0.2576377816838709,0.10526315789473682,0.11231867903944324,0.8711538734063838,0.28530798528262113,0.5044334042511065,0.3963760217682762,0.3712918263205822,0.6598133475306129,0,0.19464135528054788,0.5392781316348195,0.030995934959349592,0.006463010304241977,0.6723973256924547,0.4366412213740458,0,DCX:,N,E,0.5025722691960423
212,   213 Lilaea,0.345047610841977,0.3673168604217862,0.10526315789473682,0.18596591495529027,0.3394852814578434,0.4499868323659008,0.36847711584807324,0.3265248104006085,0.27700177561927686,0.6593279258400927,0,0.1849092875165205,0.5774946921443739,0.07723577235772358,0.007969956882480322,0.620821394460363,0.3374045801526717,B,F,N,E,0.35763221860813155
213,   214 Aschera,0.30726803919105555,0.07359230105784584,1.0,0.08825245425839164,0.9516485026235951,0.36409579315789387,0.42150123225905894,0.2169580368068604,0.2426352433384127,0.6578716607685321,0,0.19404061035684247,0.6369426751592357,1.0,0.0035090865965865976,0.6685768863419294,0.3312977099236641,Xc,E,N,E,0.42074525554055564
214,   215 Oenone,0.34899231932264024,0.08206462330686272,0.10526315789473682,0.03731851682528186,0.0692271877718061,0.8774944855978416,0.4645429072360131,0.25764081663084,0.28064220529481276,0.5126992577745765,0,0.22636068725219272,0.6581740976645437,0.2306910569105691,0.021587305296976337,0.8070678127984718,0.6885496183206107,0,S,N,E,0.4552457653610309
215,   216 Kleopatra,0.35604623887436293,0.6414368741307421,0.6140350877192982,0.3692373963593148,0.5992186407914982,0.5000022033577824,0.289635894684129,0.4085486526615702,0.28717629438477993,0.6571670163790674,0,0.24402258800913132,0.4352441613588111,0.10203252032520325,0.002266862299573749,0.6809933142311366,0.3633587786259542,Xe,M,N,E,0.2857549028663374
216,   217 Eudora,0.3755958041974986,0.7942954463910932,0.10526315789473682,0.2939109017673585,0.4523117127621427,0.4310355264690629,0.25500555336850944,0.4709315431744606,0.3054468357456653,0.625880805486831,0,0.19584284512795866,0.7112526539278133,0.03353658536585366,0.019304182709707896,0.0,0.0,0,X,N,E,0.24688278401393143
217,   218 Bianca,0.32238554817968723,0.2972563617880965,0.6666666666666666,0.4297166270181412,0.47463029624853986,0.17373188359418917,0.3683685812231498,0.2860324736124579,0.2562779298232592,0.5824433935673796,0,0.1744563258440466,0.5732484076433122,0.1611788617886179,0.003082446803543565,0.8204393505253106,0.6763358778625953,0,S,N,E,0.3725402177500566
218,   219 Thusnelda,0.2387763622334644,0.5701658913336113,0.10526315789473682,0.3038991782148934,0.5587500423472441,0.3961608916687954,0.2097591022057413,0.26171670713196155,0.18269640085172753,0.551908803357239,0,0.24282109816172054,0.6496815286624206,0.1758130081300813,0.0488331393093209,0.8643744030563516,0.7358778625954199,0,S,N,E,0.20591843052917533
219,   220 Stephania,0.23740195764147312,0.6574253507340044,0.10526315789473682,0.20900310598312624,0.717589494731448,0.21758097056549414,0.18460071679951243,0.2791453433863624,0.18152567226052438,0.3675738310732517,0,0.16400336417157274,0.8492569002123143,0.05386178861788619,0.013243841553108662,0.0,0.0,0,XC,N,E,0.1819049685006464
220,   221 Eos,0.41394374188653416,0.2626479829315388,0.3333333333333333,0.30437222851939694,0.39455272174556194,0.5360176232747567,0.4720296608801708,0.36802241783401995,0.34196627440479355,0.6270865303310262,0,0.19824582482278025,0.47452229299363063,0.15243902439024393,0.006600083330119257,0.7335243553008597,0.6259541984732824,K,S,N,E,0.46257490479790864
221,   222 Lucia,0.44921443791125243,0.3323080265047734,0.10526315789473682,0.050891866368913914,0.2228782810261222,0.5034041894439166,0.4822195413963886,0.42312140039664753,0.3763353955938981,0.548667439165701,0,0.27105610957587406,0.6295116772823781,0.11382113821138212,0.0043675920917842365,0.6571155682903533,0.6030534351145038,0,BU,N,E,0.47102628110258427
222,   223 Rosa,0.43797557403133863,0.2924424304841009,0.10526315789473682,0.044563725961239926,0.13321501888041642,0.1741578535169127,0.48560938728010716,0.40031743201197756,0.36530370120565153,0.6275249757289155,0,0.2247987504505587,0.6878980891719746,0.0040650406504065045,0.015030074421571967,0.6743075453677173,0.43511450381679384,0,X,N,E,0.48446604541479
223,   224 Oceana,0.316402317591525,0.10637023155058785,0.10526315789473682,0.15810943660552151,0.9817560564129449,0.7917101840499149,0.42139220648079284,0.23339984816932668,0.2508608863747683,0.5491998371488522,0,0.1733749849813769,0.5721868365180468,0.15243902439024393,0.005707395249093472,0.7144221585482331,0.3068702290076336,0,M,N,E,0.41248944330131404
224,   225 Henrietta,0.5159204810609203,0.6755185762318873,0.10526315789473682,0.5941853402303758,0.5484294241481753,0.2877511403755798,0.4117431180956598,0.5982805871583562,0.44332332099141436,0.572641007171714,0,0.21662861948816534,0.585987261146497,0.046747967479674794,0.003955087954534797,0.6189111747851004,0.43053435114503813,0,F,N,E,0.4305204501343225
225,   226 Weringia,0.3341884618052924,0.5199056322269062,0.10526315789473682,0.4521757586802264,0.37543084754183675,0.4279228740644676,0.30960607850652383,0.353622700286354,0.2670308180935983,0.6434969152234505,0,0.1791421362489487,0.7112526539278133,0.34146341463414637,0.007203204643979289,0.0,0.0,S,0,N,E,0.30185433846844456
